國1 108.0K,120.9293,24.7106
國1 109.0K,120.9266,24.7022
國1 110.0K,120.9205,24.6951
國1 111.0K,120.9155,24.6873
國1 112.0K,120.9077,24.6818
國1 113.0K,120.9006,24.6755
國1 114.0K,120.8917,24.6721
國1 115.0K,120.8844,24.6665
國1 116.0K,120.8823,24.6577
國1 117.0K,120.8786,24.6494
國1 118.0K,120.8716,24.6430
國1 119.0K,120.8661,24.6358
國1 120.0K,120.8674,24.6269
國1 121.0K,120.8643,24.6185
國1 122.0K,120.8651,24.6097
國1 123.0K,120.8631,24.6011
國1 124.0K,120.8605,24.5926
國1 125.0K,120.8600,24.5837
國1 126.0K,120.8550,24.5760
國1 127.0K,120.8505,24.5681
國1 128.0K,120.8438,24.5616
國1 129.0K,120.8401,24.5533
國1 130.0K,120.8357,24.5453
國1 131.0K,120.8298,24.5380
國1 132.0K,120.8265,24.5296
國1 133.0K,120.8193,24.5235
國1 134.0K,120.8123,24.5173
國1 135.0K,120.8073,24.5096
國1 136.0K,120.7989,24.5050
國1 137.0K,120.7898,24.5015
國1 138.0K,120.7834,24.4948
國1 139.0K,120.7820,24.4860
國1 140.0K,120.7847,24.4773
國1 141.0K,120.7881,24.4689
國1 142.0K,120.7871,24.4600
國1 143.0K,120.7829,24.4520
國1 144.0K,120.7809,24.4432
國1 145.0K,120.7783,24.4346
國1 146.0K,120.7768,24.4257
國1 147.0K,120.7749,24.4168
國1 148.0K,120.7710,24.4087
國1 149.0K,120.7645,24.4020
國1 150.0K,120.7593,24.3943
國1 151.0K,120.7544,24.3864
國1 152.0K,120.7506,24.3781
國1 153.0K,120.7461,24.3701
國1 154.0K,120.7404,24.3628
國1 155.0K,120.7342,24.3558
國1 156.0K,120.7280,24.3487
國1 157.0K,120.7223,24.3414
國1 158.0K,120.7176,24.3335
國1 159.0K,120.7117,24.3263
國1 160.0K,120.7056,24.3192
國1 161.0K,120.7010,24.3112
國1 162.0K,120.6978,24.3027
國1 163.0K,120.6957,24.2939
國1 164.0K,120.6946,24.2849
國1 165.0K,120.6935,24.2759
國1 166.0K,120.6924,24.2670
國1 167.0K,120.6913,24.2580
國1 168.0K,120.6903,24.2490
國1 169.0K,120.6890,24.2401
國1 170.0K,120.6866,24.2313
國1 171.0K,120.6823,24.2232
國1 172.0K,120.6760,24.2163
國1 173.0K,120.6680,24.2110
國1 174.0K,120.6593,24.2069
國1 175.0K,120.6507,24.2025
國1 176.0K,120.6433,24.1966
國1 177.0K,120.6378,24.1891
國1 178.0K,120.6342,24.1807
國1 179.0K,120.6291,24.1730
國1 180.0K,120.6231,24.1659
國1 181.0K,120.6203,24.1573
國1 182.0K,120.6194,24.1483
國1 183.0K,120.6180,24.1394
國1 184.0K,120.6173,24.1304
國1 185.0K,120.6159,24.1215
國1 186.0K,120.6105,24.1141
國1 187.0K,120.6013,24.1117
國1 188.0K,120.5927,24.1159
國1 189.0K,120.5834,24.1188
國1 190.0K,120.5738,24.1176
國1 191.0K,120.5666,24.1116
國1 192.0K,120.5605,24.1046
國1 193.0K,120.5530,24.0989
國1 194.0K,120.5433,24.0974
國1 195.0K,120.5348,24.0931
國1 196.0K,120.5284,24.0863
國1 197.0K,120.5242,24.0782
國1 198.0K,120.5226,24.0693
國1 199.0K,120.5232,24.0603
國1 200.0K,120.5239,24.0513
國1 201.0K,120.5231,24.0423
國1 202.0K,120.5209,24.0335
國1 203.0K,120.5178,24.0250
國1 204.0K,120.5150,24.0163
國1 205.0K,120.5130,24.0075
國1 206.0K,120.5109,23.9986
國1 207.0K,120.5089,23.9898
國1 208.0K,120.5069,23.9810
國1 209.0K,120.5061,23.9720
國1 210.0K,120.5064,23.9629
國1 211.0K,120.5064,23.9539
國1 212.0K,120.5051,23.9450
國1 213.0K,120.5025,23.9363
國1 214.0K,120.4991,23.9278
國1 215.0K,120.4974,23.9189
國1 216.0K,120.4979,23.9099
國1 217.0K,120.4972,23.9009
國1 218.0K,120.4943,23.8923
國1 219.0K,120.4917,23.8836
國1 220.0K,120.4904,23.8747
國1 221.0K,120.4890,23.8658
國1 222.0K,120.4865,23.8570
國1 223.0K,120.4846,23.8482
國1 224.0K,120.4843,23.8392
國1 225.0K,120.4849,23.8301
國1 226.0K,120.4853,23.8211
國1 227.0K,120.4847,23.8121
國1 228.0K,120.4832,23.8032
國1 229.0K,120.4807,23.7945
國1 230.0K,120.4773,23.7860
國1 231.0K,120.4736,23.7776
國1 232.0K,120.4702,23.7692
國1 233.0K,120.4680,23.7604
國1 234.0K,120.4675,23.7514
國1 235.0K,120.4685,23.7424
國1 236.0K,120.4711,23.7337
國1 237.0K,120.4743,23.7252
國1 238.0K,120.4760,23.7163
國1 239.0K,120.4758,23.7073
國1 240.0K,120.4737,23.6985
國1 241.0K,120.4701,23.6901
國1 242.0K,120.4653,23.6822
國1 243.0K,120.4604,23.6744
國1 244.0K,120.4555,23.6666
國1 245.0K,120.4510,23.6585
國1 246.0K,120.4471,23.6502
國1 247.0K,120.4438,23.6417
國1 248.0K,120.4412,23.6330
國1 249.0K,120.4392,23.6242
國1 250.0K,120.4377,23.6153
國1 251.0K,120.4362,23.6064
國1 252.0K,120.4345,23.5975
國1 253.0K,120.4319,23.5888
國1 254.0K,120.4281,23.5805
國1 255.0K,120.4237,23.5724
國1 256.0K,120.4198,23.5641
國1 257.0K,120.4165,23.5556
國1 258.0K,120.4133,23.5471
國1 259.0K,120.4100,23.5386
國1 260.0K,120.4068,23.5300
國1 261.0K,120.4044,23.5213
國1 262.0K,120.4033,23.5123
國1 263.0K,120.3996,23.5040
國1 264.0K,120.3935,23.4970
國1 265.0K,120.3874,23.4899
國1 266.0K,120.3825,23.4821
國1 267.0K,120.3789,23.4737
國1 268.0K,120.3767,23.4649
國1 269.0K,120.3741,23.4562
國1 270.0K,120.3696,23.4482
國1 271.0K,120.3643,23.4406
國1 272.0K,120.3597,23.4327
國1 273.0K,120.3565,23.4242
國1 274.0K,120.3549,23.4153
國1 275.0K,120.3549,23.4062
國1 276.0K,120.3553,23.3972
國1 277.0K,120.3553,23.3882
國1 278.0K,120.3534,23.3793
國1 279.0K,120.3496,23.3710
國1 280.0K,120.3441,23.3636
國1 281.0K,120.3372,23.3572
國1 282.0K,120.3293,23.3519
